	Wolfgang Kindler (I)
, 0	Yue-Hua Lu
, 0	Yue-Lin Tsai
, 0	Yue-Ming Chang
, 0	Yue-Sai Kan
, 0	Yue-Ting Wang
, 54855	Yue-Tong Pan
, 0	Yue-Yun Chen
, 0	Yue-Zong Tsai
, 0	Yue-chu Hsu
, 0	Yue-fan Yang
, 0	Yue-feng Kuo
, 2	Yue-hsia Hsieh
, 0	Yue-hu Su
, 0	Yue-hua Li
, 0	Yue-niang Shih
, 0	Yue-yu Chen
, 0	Yue-yue Tien
, 0	Yue-yun Chang
, 0	Yue-yun Pan
, 0	Yuebai Wang
, 2	Yuecsel Topcuguerler
, 0	Yuedong Zhang
, 0	Yuefang Liu
, 0	Yuefen Glin
, 0	Yueh Chuan Tung
, 0	Yueh Hua Mei
, 0	Yueh Liu
, 2	Yueh Sun
, 0	Yueh-Han Lin
, 0	Yueh-Hsun Tsai
, 0	Yueh-Ju Jaw
, 0	Yueh-Nu Lin
, 0	Yueh-Ying Chen
, 0	Yueh-e Lu
, 0	Yueh-hsin Chu
, 0	Yueh-kuei Fung
, 0	Yuehao Luo
, 0	Yuehui Ma
, 0	Yuejie Wang
, 0	Yuejin Wang
, 0	Yuejuan Tong (II)
, 0	Yueksel Cakaloglu
, 0	Yuel Bros
, 166112160	Yuel Yawney
, 3	Yuelian Shen
, 0	Yuell Newsome
, 1027749	Yuelong Fang
, 9213	Yuemin Li
, 0	Yueming Cui
, 0	Yueming Di
, 3369270	Yueming Pan
, 8332432	Yueming Shen
, 0	Yueming Zhen
, 0	Yuemo Chen
, 0	Yuen An
, 0	Yuen Bor Chong
, 6643	Yuen Byun (II)
, 0	Yuen Chao Cet
, 0	Yuen Che
, 0	Yuen Chiang (I)
, 0	Yuen Chiang (II)
, 0	Yuen Ching Kee
, 8332436	Yuen Chor
, 0	Yuen Chun Tsai
, 2	Yuen Fang
, 231423	Yuen Fat Fai
, 2195190	Yuen Fat Tse
, 0	Yuen Fung Su
, 0	Yuen Go
, 0	Yuen Hsien Chang
, 0	Yuen Hsu
, 0	Yuen Hung
, 0	Yuen Kai Chan
, 3	Yuen Kao
, 2	Yuen Lam
, 0	Yuen Li
, 0	Yuen Lin
, 0	Yuen Ling Chen
, 0	Yuen Ling Tao
, 0	Yuen Liu (II)
, 0	Yuen Lo
, 0	Yuen Luk
, 0	Yuen Lung
, 0	Yuen Luo
, 0	Yuen Man Joanne Lau
, 0	Yuen Man Leung
, 0	Yuen Man Meng
, 0	Yuen Meng
, 0	Yuen Pau Woo
, 0	Yuen Ping Chong
, 2	Yuen San Wong
, 0	Yuen Shing Fong
, 0	Yuen Si Tam
, 0	Yuen Si-Fu
, 0	Yuen So
, 0	Yuen Suk Lee
, 0	Yuen Tai Wong
, 0	Yuen Tao
, 0	Yuen Theng Yeow
, 0	Yuen Tong
, 0	Yuen Tung Li (I)
, 0	Yuen Wah Cheung
, 0	Yuen Wai Cheong (I)
, 0	Yuen Wai Ping
, 169659	Yuen Waj Ho (I)
, 0	Yuen Yan Wei
, 231427	Yuen Yee Ng
, 3	Yuen Yi
, 0	Yuen Yiu-Hung
, 0	Yuen Yuan
, 0	Yuen Yue Man
, 0	Yuen Yung
, 0	Yuen Yung Chong
, 2	Yuen-Chee Fung
, 0	Yuen-Ching Leung
, 0	Yuen-Fai Yu
, 0	Yuen-Fan Tse
, 0	Yuen-Fo Lee
, 0	Yuen-Hon Yau
, 0	Yuen-Jing Chan
, 0	Yuen-Jing Cheung
, 0	Yuen-Kan Pong
, 0	Yuen-Kin Ting
, 0	Yuen-King Ho
, 3	Yuen-Leung Poon
, 0	Yuen-Ling Cheung
, 0	Yuen-Man Cheng
, 0	Yuen-Mei Cheung
, 0	Yuen-Ping Chen
, 0	Yuen-Sang Lee
, 0	Yuen-Shan Kwan
, 0	Yuen-Sum Ng
, 0	Yuen-Sze Chow
, 0	Yuen-Ta Tsai
, 0	Yuen-Tat Chan
, 0	Yuen-Tei Liu
, 0	Yuen-Ting Wong
, 0	Yuen-Wah Lee
, 0	Yuen-Wai Tse
, 0	Yuen-Wai Wong
, 0	Yuen-Yuen Chow
, 0	Yuen-cheh Chin
, 3	Yuen-chi Fung
, 0	Yuen-ching Li
, 0	Yuen-chuan Liu
, 0	Yuen-fan Wu
, 0	Yuen-kei Chui
, 0	Yuen-shun Wu
, 0	Yuen-tien Kuan
, 0	Yuen-yam Yu
, 3	Yuen-yan Lo
, 0	Yuen-yee Yeung
, 0	Yuen-yin Lau
, 0	Yuen-yuen Hui
, 0	Yuen-yuen Liu
, 0	Yueng-xuan Zhou
, 0	Yueqiao Han
, 0	Yueqin Hou
, 0	Yueqiu Hou
, 2	Yuerong Zhai
, 0	Yuesong Fan
, 0	Yuesong Jia
, 0	Yuet Ching Lee
, 0	Yuet Hiu Lau
, 0	Yuet Ling Wong
, 0	Yuet Mei Tse
, 0	Yuet Mei Wong
, 0	Yuet Nam
, 25313	Yuet Sang Chin
, 2	Yuet Sin Lee
, 503714	Yuet Siu Wong
, 0	Yuet Ti Fan
, 0	Yuet Tong lo
, 0	Yuet Wai Lau
, 0	Yuet Yee
, 0	Yuet-Bing To
, 0	Yuet-Fong Au
, 0	Yuet-Fun Cheung
, 0	Yuet-Fung Lau
, 0	Yuet-Hiu Lau
, 0	Yuet-Jan Hui
, 0	Yuet-Lam To
, 0	Yuet-Lung Gan
, 0	Yuet-Man Mak
, 0	Yuet-Mei Fu
, 4	Yuet-Ming Chiu
, 0	Yuet-Ming Wong
, 0	Yuet-Ming Yiu
, 0	Yuet-Or Tai
, 0	Yuet-Ping Leung
, 0	Yuet-Sin Lai
, 0	Yuet-Ying Ng
, 0	Yuet-lung Kam
, 0	Yuet-ping Lui
, 0	Yuet-sing Lee
, 0	Yuetang Ou
, 0	Yuewen Wu
, 0	Yuewen Xiao
, 0	Yuexi An
, 0	Yuexia Liu
, 0	Yuexian Yan
, 0	Yuexian Yu
, 0	Yuexin Gao
, 0	Yueying Tang
, 2	Yueyun Liang
, 0	Yuezhi Sun
, 0	Yufan Chen
, 0	Yufan Wang
, 0	Yufang Wu
, 0	Yufei Wang
, 149258	Yufei Xing
, 0	Yufei Zhang
, 0	Yufeng Li
, 0	Yufeng Liu
, 0	Yufeng Xi
, 0	Yufeng Zhou
, 0	Yuffie Yulan
, 0	Yufu Mizuno
, 0	Yufu Terashima
, 0	Yug Jovanovic
, 0	Yug Mahnot
, 0	Yug Raj
, 0	Yug Verma
, 0	Yuga Kawano
, 0	Yugal Kishore
, 0	Yugan Bala
, 0	Yugang Dong
, 0	Yugeindran Nair
, 0	Yugendran
, 0	Yugesh Walia
, 0	Yugi Ji
, 752856	Yugi Ogata
, 0	Yugi Sethu
, 0	Yugi Takahasi
, 0	Yugo Chinaka
, 0	Yugo Connola
, 0	Yugo Fujii
, 0	Yugo Hoshi
, 0	Yugo Maeda
, 0	Yugo Mito
, 0	Yugo Miyazaki
, 233101	Yugo Sakamoto
, 4	Yugo Saso
, 0	Yugomir Lynch
, 0	Yugraj Jain
, 2	Yugui López
, 0	Yuguo Ju
, 0	Yuh John Tai
, 0	Yuh Yamagami
, 0	Yuh-Jung Youn
, 0	Yuha Song
, 0	Yuhai He
, 0	Yuhai Wei
, 9213	Yuhan Wu
, 0	Yuhang Du
, 4	Yuhang Ho
, 0	Yuhang Wen
, 0	Yuhang Wu
, 0	Yuhao Wu
, 0	Yuhao Yaun
, 0	Yuhara Abdullah
, 0	Yuhei Kurachi
, 0	Yuhei Obara
, 0	Yuhei Ohara
, 0	Yuhei Okabe
, 0	Yuhei Sorori
, 0	Yuhi Asato
, 0	Yuhi Okazaki
, 0	Yuhi Sano
, 0	Yuhi Sethu
, 0	Yuhino Kedashiro
, 0	Yuhiro Nagata
, 0	Yuhka
, 0	Yuhka Asami
, 0	Yuhkoh Matsuguchi
, 0	Yuhmi Akino
, 0	Yuhmi Kaneyama
, 0	Yuho Kitada
, 0	Yuho Matsuda
, 0	Yuho Yamaguchi
, 157279	Yuhong Ma
, 0	Yuhong Ng
, 0	Yuhong Zhang
, 0	Yuhua Cao
, 0	Yuhua Gu
, 0	Yuhua Luo
, 0	Yuhua Wu
, 0	Yuhua Zhao
, 0	Yuhua Zhou
, 0	Yuhuko Imoto
, 0	Yuhwen Foong
, 63540020	Yui (I)
, 0	Yui (III)
, 0	Yui (IV)
, 0	Yui (V)
, 0	Yui (VII)
, 0	Yui Adachi
, 0	Yui Aikawa
, 0	Yui Akamatsu
, 3	Yui Aragaki
, 0	Yui Ariga
, 0	Yui Asahina
, 0	Yui Asaka
, 0	Yui Asano
, 42000000	Yui Big Ong
, 472599	Yui Chang Pio Tou
, 0	Yui Chiang
, 0	Yui Chow
, 0	Yui Egashira
, 0	Yui Han
, 0	Yui Hatano
, 13068	Yui Higashiyama (III)
, 0	Yui Hitono
, 45	Yui Horie
, 0	Yui Hoshikawa
, 0	Yui Hotta
, 325664	Yui Ichikawa
, 349811	Yui Iizuka
, 0	Yui Ikeda
, 0	Yui Ishikawa
, 0	Yui Ito
, 9	Yui Itsuki
, 0	Yui Iwanaga
, 0	Yui Iwata
, 0	Yui Kan Joyce Cheung
, 0	Yui Kaneko
, 8	Yui Kano
, 0	Yui Kanzawa
, 0	Yui Katô
, 0	Yui Kawaguchi
, 0	Yui Kawai
, 0	Yui Kawamura
, 0	Yui Kawana
, 0	Yui Kayama
, 2	Yui Koike
, 0	Yui Koizumi
, 0	Yui Komazuka
, 0	Yui Komine
, 0	Yui Liang
, 0	Yui Lo
, 0	Yui Maeda
, 0	Yui Maisaka
, 0	Yui Makino (I)
, 80	Yui Makino (II)
, 0	Yui Mamiya
, 0	Yui Matsuda
, 0	Yui Matsumoto (II)
, 0	Yui Matsushita
, 0	Yui Matusmoto
, 0	Yui Minakata
, 0	Yui Minami
, 0	Yui Miura
, 0	Yui Miyagi
, 0	Yui Miyanaga
, 0	Yui Mizuno
, 0	Yui Moegi
, 0	Yui Morikawa
, 21665	Yui Murata
, 0	Yui Nagaki
, 0	Yui Nakajô
, 0	Yui Nakamura (II)
, 0	Yui Nakanose
, 1210976	Yui Natsukawa
, 0	Yui Nirehara
, 0	Yui Ogura
, 0	Yui Okada
, 0	Yui Okamoto
, 0	Yui Okano
, 0	Yui Ozaki
, 0	Yui P.
, 0	Yui Sagawa
, 0	Yui Saito
, 13	Yui Sakakibara
, 0	Yui Sakuma
, 10076138	Yui Sang Wong
, 0	Yui Sarina
, 0	Yui Sasagawa
, 0	Yui Satonaka
, 0	Yui Satô
, 0	Yui Sawada
, 0	Yui Seto
, 9	Yui Shoji
, 3	Yui Sobue
, 0	Yui Sriyabhaya
, 0	Yui Suehiro
, 0	Yui Taguchi
, 0	Yui Takano
, 4	Yui Tateishi
, 0	Yui Tatsumi
, 0	Yui Tezuka
, 0	Yui Tomoe
, 0	Yui Ueda
, 0	Yui Ugai
, 0	Yui Umikawa
, 0	Yui Umino
, 0	Yui Watanabe
, 0	Yui Watase
, 0	Yui Yang
, 0	Yui Yokoyama
, 0	Yui Yu Chung
, 0	Yui-Ling Lam
, 0	Yui-Ming Chow
, 0	Yui-Ming Tam
, 0	Yui-San Ma
, 194721	Yui-Wah Cheung
, 0	Yui-cheong Kwan
, 0	Yui-chun Pao
, 0	Yui-ping Lu
, 0	Yui-san Ma
, 0	Yuia Hidaka
, 0	Yuichi Baba
, 0	Yuichi Imai (II)
, 0	Yuichi Ishii
, 4995	Yuichi Ishikawa (II)
, 2	Yuichi Kasai
, 0	Yuichi Kikuchi (II)
, 0	Yuichi Kojima
, 3	Yuichi Komano
, 0	Yuichi Komine
, 0	Yuichi Kushima
, 0	Yuichi Matsuo
, 0	Yuichi Matsuoka (II)
, 0	Yuichi Mikami
, 30325	Yuichi Minato
, 0	Yuichi Nakamaru
, 12	Yuichi Nakamura (I)
, 0	Yuichi Nakamura (IX)
, 0	Yuichi Nakamura (VII)
, 0	Yuichi Nakamura (X)
, 0	Yuichi Nakamura (XI)
, 0	Yuichi Nishi
, 0	Yuichi Nishimura (I)
, 0	Yuichi Nishitani
, 0	Yuichi Saito
, 437548	Yuichi Sato (I)
, 0	Yuichi Sugita
, 0	Yuichi Takahashi (II)
, 0	Yuichi Takahashi (III)
, 0	Yuichi Tanigawa
, 0	Yuichi Tauchi
, 0	Yuichi Toyone
, 0	Yuichi Tsuchiya (II)
, 0	Yuichi Tsuneyoshi
, 0	Yuichi Ueda (I)
, 0	Yuichi Watanabe (II)
, 0	Yuichi Yazawa
, 0	Yuichi Yoshida
, 0	Yuichi Yoshimoto
, 0	Yuichio Iguchi
, 0	Yuichiro
, 2	Yuichiro Arai
, 0	Yuichiro Enomoto
, 38244	Yuichiro Furusato
, 0	Yuichiro Hirose
, 0	Yuichiro Kevin Asami
, 0	Yuichiro Kitayama
, 0	Yuichiro Oooka
, 0	Yuichiro Senga
, 0	Yuichiro Shiga
, 0	Yuichiro Suzuki (II)
, 0	Yuichiro Suzuki (III)
, 0	Yuichiro Tanaka
, 0	Yuichiro Watanabe
, 0	Yuichiro Yamaguchi
, 0	Yuichiro Yanai
, 0	Yuichiro Yoshibe
, 0	Yuichirô Suzuki
, 0	Yuigi Lopez
, 0	Yuiha Kudô
, 0	Yuika Bandai
, 0	Yuika Hotta
, 5	Yuika Motokariya
, 0	Yuika Tatsuno
, 0	Yuiko Kariya
, 0	Yuiko Konishi
, 0	Yuiko Nomura
, 0	Yuiko Okuyama
, 2	Yuiko Tatsumi
, 0	Yuina
, 0	Yuina Ikeda
, 0	Yuina Kato
, 0	Yuina Kumakura
, 0	Yuino Ezura
, 0	Yuino Mase
, 0	Yuino Saitô
, 0	Yuisa Perez
, 0	Yuito Fukushi
, 0	Yuito Ôwada
, 0	Yuja Wang
, 0	Yuje Joshihara
, 0	Yujeong Duke
, 0	Yuji Abe (I)
, 0	Yuji Agematsu
, 0	Yuji Aida
, 0	Yuji Akamatsu
, 0	Yuji Ando
, 0	Yuji Gabai
, 0	Yuji Goto (III)
, 0	Yuji Haraguchi
, 447753	Yuji Hasegawa (I)
, 54482	Yuji Hatori
, 0	Yuji Hayashida
, 0	Yuji Hayata
, 0	Yuji Higashi
, 0	Yuji Hirayama
, 0	Yuji Horioka
, 0	Yuji Ide
, 0	Yuji Imiyagaua
, 34287296	Yuji Inanobe
, 0	Yuji Ito (IV)
, 0	Yuji Kainuma
, 0	Yuji Kakuuchi
, 0	Yuji Kaneko (II)
, 0	Yuji Kanomata
, 0	Yuji Kato (I)
, 0	Yuji Kato (II)
, 0	Yuji Kawakita
, 0	Yuji Kodama
, 4602512	Yuji Kojima (II)
, 0	Yuji Kurita
, 0	Yuji Kuroiwa
, 0	Yuji Kuwa
, 0	Yuji Matsumaru
, 0	Yuji Matsuzaki
, 0	Yuji Midorikawa
, 2	Yuji Miyashita
, 0	Yuji Mizoguchi
, 0	Yuji Moriyama
, 0	Yuji Moto
, 4994	Yuji Motoi
, 0	Yuji Murata
, 0	Yuji Nagata (I)
, 0	Yuji Naka
, 0	Yuji Nakada
, 0	Yuji Nakata
, 3	Yuji Nakazawa (II)
, 0	Yuji Nanbu
, 0	Yuji Nanto
, 0	Yuji Nerei
, 0	Yuji Nogami
, 0	Yuji Nouzaki
, 0	Yuji Nozaki (I)
, 0	Yuji Nozawa
, 847306	Yuji O. Hirayama
, 0	Yuji Odaka
, 0	Yuji Odoi
, 44566004	Yuji Okabe
, 0	Yuji Okada
, 0	Yuji Oki
, 984353664	Yuji Okumoto
, 0	Yuji Oniki
, 0	Yuji Ono
, 0	Yuji Osugi
, 0	Yuji Saito (VI)
, 0	Yuji Sakamoto
, 0	Yuji Sasaki (II)
, 3	Yuji Shimada (III)
, 0	Yuji Shimizu (I)
, 0	Yuji Taira
, 0	Yuji Takada
, 0	Yuji Takahara
, 0	Yuji Takahashi (II)
, 0	Yuji Taki
, 2	Yuji Tanaka (II)
, 0	Yuji Tani
, 0	Yuji Tanuma
, 0	Yuji Tateno
, 0	Yuji Tone (II)
, 0	Yuji Tone (III)
, 2	Yuji Tsuboi
, 0	Yuji Ueda (I)
, 0	Yuji Ueda (II)
, 0	Yuji Ueno
, 0	Yuji Yamaga (I)
, 0	Yuji Yamamoto (I)
, 0	Yuji Yamamoto (III)
, 81525	Yuji Yamashita (II)
, 0	Yuji Yamashita (III)
, 0	Yuji Yasuda (I)
, 0	Yuji Yokotani
, 0	Yuji Yoshihara
, 0	Yujia Ding
, 0	Yujia Sun
, 0	Yujia Xia
, 0	Yujie Zhou
, 0	Yujin Chi
, 0	Yujin Nakamura
, 0	Yujin Shin
, 0	Yujin Yaguchi
, 0	Yujing Liang
, 0	Yujiro
, 0	Yujiro Asahina
, 0	Yujiro Hanada
, 0	Yujiro Itaya
, 0	Yujiro Ito
, 0	Yujiro Kakuda
, 0	Yujiro Komura
, 0	Yujiro Koyama
, 0	Yujiro Shirakawa
, 0	Yujiro Sumi
, 0	Yujiro Takahashi
, 0	Yujiro Takashi
, 0	Yujirô Hatanaka
, 0	Yujuan Li
, 0	Yujuan Wen
, 0	Yujuan Wu
, 0	Yujun Hao
, 0	Yujun Wen
, 2	Yujun Wu
, 0	Yujxel Jati
, 0	Yuk (I)
, 0	Yuk Fan Lee
, 18707466	Yuk Fan Yiu
, 0	Yuk Guen Lee
, 503714	Yuk Ha Lau
, 0	Yuk Hang Chan
, 31806100	Yuk Hing Chan
, 0	Yuk Jan Lee
, 3	Yuk Kee Lau
, 0	Yuk Kiu Cheung
, 0	Yuk Kuen Tam
, 0	Yuk Lam (I)
, 0	Yuk Lam (II)
, 0	Yuk Lan Hung
, 0	Yuk Lee Lee
, 0	Yuk Lin Gam
, 0	Yuk Ling Chan
, 12354056	Yuk Long Wong
, 0	Yuk Lung Tsang
, 0	Yuk Ping Yip
, 0	Yuk Ping Yue
, 11806119	Yuk Shu Ng
, 59365104	Yuk Sim Yau
, 0	Yuk Ting Fong
, 0	Yuk Tsui
, 0	Yuk Wah Cheung (II)
, 800005	Yuk Wah Cheung (III)
, 0	Yuk Wan Cheung
, 0	Yuk Wing Wong
, 0	Yuk Wong
, 0	Yuk Yin Siu
, 0	Yuk Ying Tam
, 0	Yuk Yue Chang
, 2	Yuk Yue Yau
, 0	Yuk-Bing Lai
, 0	Yuk-Bing Woo
, 0	Yuk-Dan Luk
, 0	Yuk-Fong Cheung
, 0	Yuk-Fu Lee
, 0	Yuk-Guen Tsang
, 0	Yuk-Hang Wong
, 0	Yuk-Hing Wong
, 0	Yuk-Jan Lam
, 0	Yuk-Jan Lau
, 0	Yuk-Kei Chui
, 370311	Yuk-Keung Kwok
, 0	Yuk-Lan Chong
, 0	Yuk-Lan Fu
, 0	Yuk-Lan Yeung
, 0	Yuk-Lan Yuen
, 0	Yuk-Ling Chow
, 0	Yuk-Ling Wong
, 20434180	Yuk-Man Wong
, 0	Yuk-Mei Shum
, 0	Yuk-Mei Yi
, 14533683	Yuk-Mui Yeung
, 40178856	Yuk-San Cheung
, 0	Yuk-Sing Ma
, 920816	Yuk-Ting Lau
, 0	Yuk-Ting Wong
, 2	Yuk-Wah So
, 0	Yuk-Wai Lui
, 0	Yuk-Wo Wan
, 0	Yuk-Ying Lo
, 0	Yuk-Yu Cheung
, 0	Yuk-Yu Lam
, 0	Yuk-chen Chan
, 0	Yuk-chuen Cheung
, 0	Yuk-chung Chan
, 0	Yuk-jun Chan
, 0	Yuk-kwan Chan
, 0	Yuk-kwan Chi
, 0	Yuk-kwan Leung
, 0	Yuk-lun Chan
, 0	Yuk-ming Chan
, 0	Yuk-mui Chan
, 0	Yuk-sing Cheung
, 0	Yuk-wah Lam
, 0	Yuk-wai Wan
, 2	Yuk-yee Yung
, 0	Yuk-ying Wong
, 2	Yuka (II)
, 0	Yuka Adachi (II)
, 0	Yuka Aikawa
, 0	Yuka Aimoto
, 0	Yuka Ameya
, 0	Yuka Aoki
, 0	Yuka Aoyama
, 0	Yuka Asaba
, 0	Yuka Asagiri
, 0	Yuka Asato
, 0	Yuka Ashida
, 0	Yuka Ayaki
, 0	Yuka Ebara
, 0	Yuka Eda
, 0	Yuka Ezaki
, 0	Yuka Fujimori
, 0	Yuka Fujimoto
, 0	Yuka Fujimura
, 0	Yuka Fujino (II)
, 0	Yuka Fujiwara
, 0	Yuka Fukushima (I)
, 0	Yuka Fukuyama
, 2	Yuka Hanabusa (I)
, 0	Yuka Hanabusa (II)
, 0	Yuka Harui
, 0	Yuka Harunaga
, 0	Yuka Hashimoto
, 0	Yuka Hattori
, 0	Yuka Hayase
, 0	Yuka Hayashi
, 0	Yuka Hechanova
, 0	Yuka Hirasawa
, 145119	Yuka Hirata
, 0	Yuka Hirose (I)
, 0	Yuka Hirose (II)
, 0	Yuka Hiyane
, 4873	Yuka Honda
, 0	Yuka Hoshino (I)
, 0	Yuka Hosokawa
, 0	Yuka Hosono
, 199	Yuka Hyodo
, 0	Yuka Hyyoudo
, 0	Yuka Hôshaku
, 0	Yuka Ida
, 0	Yuka Igarashi
, 13	Yuka Iguchi
, 0	Yuka Iida
, 3417332	Yuka Imai
, 636831	Yuka Imoto
, 0	Yuka Inokuchi
, 0	Yuka Ishigami
, 0	Yuka Ishishita
, 3	Yuka Itaya
, 0	Yuka Itô
, 0	Yuka Iwasaki
, 0	Yuka Kakumi
, 0	Yuka Kamebuchi (I)
, 40257	Yuka Kamebuchi (II)
, 0	Yuka Kamiyama
, 0	Yuka Kanematsu
, 0	Yuka Kashino
, 0	Yuka Katô (I)
, 0	Yuka Kawahara
, 0	Yuka Kawamura
, 0	Yuka Keicho
, 0	Yuka Kikuta
, 0	Yuka Kimura
, 0	Yuka King
, 0	Yuka Kinoshita
, 0	Yuka Kirishima
, 0	Yuka Kiuchi
, 2	Yuka Kobayashi (I)
, 0	Yuka Kobayashi (II)
, 0	Yuka Koide (I)
, 0	Yuka Koishihara
, 0	Yuka Koizumi (I)
, 1963208	Yuka Kojima
, 0	Yuka Komatsu
, 0	Yuka Komori (I)
, 0	Yuka Konan
, 0	Yuka Kondoh
, 0	Yuka Konno
, 0	Yuka Kono
, 0	Yuka Kosaka
, 9	Yuka Koyama
, 0	Yuka Koyanagi
, 0	Yuka Kubota
, 0	Yuka Kumari
, 0	Yuka Kuramata
, 0	Yuka Kuramochi
, 0	Yuka Kurihara
, 0	Yuka Kuroda (I)
, 0	Yuka Kyômoto
, 0	Yuka Mabuchi
, 0	Yuka Maeda (II)
, 0	Yuka Maeda (III)
, 0	Yuka Maeno
, 0	Yuka Maori
, 0	Yuka Maruyama (II)
, 0	Yuka Masuda
, 0	Yuka Matsumoto (I)
, 0	Yuka Matsuyama
, 0	Yuka Matsuzaki
, 0	Yuka Mie
, 0	Yuka Minamizaki
, 0	Yuka Mitani
, 0	Yuka Miura
, 0	Yuka Mizuhara
, 0	Yuka Mizuno
, 0	Yuka Mori (II)
, 2	Yuka Moriya
, 0	Yuka Moroguchi
, 0	Yuka Motohashi
, 0	Yuka Murayama
, 0	Yuka Nagamine
, 0	Yuka Nagayoshi
, 0	Yuka Nakamori
, 0	Yuka Nakaoka
, 2	Yuka Nakatani
, 0	Yuka Nakatsukasa
, 0	Yuka Nanjô
, 17	Yuka Nanri
, 0	Yuka Nihei
, 0	Yuka Nishigaki
, 0	Yuka Nishiguchi
, 0	Yuka Nishijo
, 0	Yuka Nishitani
, 0	Yuka Noguchi
, 0	Yuka Nozawa
, 0	Yuka Nukina
, 0	Yuka Ochiai
, 0	Yuka Ogawa (II)
, 0	Yuka Ohashi (II)
, 2	Yuka Ohnishi
, 0	Yuka Okada
, 0	Yuka Otsubo
, 0	Yuka Ozaki (II)
, 0	Yuka Ozawa
, 44540956	Yuka Ruell (I)
, 0	Yuka Saegusa
, 0	Yuka Saitô (I)
, 0	Yuka Saitô (III)
, 0	Yuka Sakamoto (II)
, 0	Yuka Sakano
, 0	Yuka Sakuma
, 0	Yuka Sakurai (I)
, 12	Yuka Sano
, 0	Yuka Sato (I)
, 0	Yuka Sato (II)
, 0	Yuka Sekiya
, 0	Yuka Shimura
, 0	Yuka Shino
, 0	Yuka Shinoda
, 46	Yuka Shioyama
, 0	Yuka Shiozaki
, 0	Yuka Shiratori
, 0	Yuka Someya
, 6672	Yuka Sonobe
, 0	Yuka Sugisawa
, 0	Yuka Sugiyama
, 0	Yuka Suzuki (II)
, 0	Yuka Suzuki (III)
, 0	Yuka Suzuki (V)
, 0	Yuka Suzuki (VI)
, 0	Yuka Tachihara
, 0	Yuka Tagami
, 0	Yuka Takamatsu
, 0	Yuka Takamine
, 0	Yuka Takaoka
, 13526407	Yuka Takara
, 0	Yuka Takemura
, 0	Yuka Takeshima
, 0	Yuka Takeuchi (II)
, 0	Yuka Tanaka
, 0	Yuka Tanimoto
, 0	Yuka Taniyama
, 0	Yuka Tauveron
, 0	Yuka Terajima
, 0	Yuka Terasaki
, 2	Yuka Terazaki
, 0	Yuka Togo
, 0	Yuka Tojo
, 0	Yuka Tokuda
, 2	Yuka Tokumitsu
, 38442	Yuka Torashima
, 0	Yuka Uchida (I)
, 0	Yuka Usami
, 0	Yuka Uto
, 0	Yuka Utsumi
, 0	Yuka Watanabe (II)
, 0	Yuka Watanabe (III)
, 0	Yuka Yagi
, 0	Yuka Yamagishi (II)
, 0	Yuka Yamakura
, 0	Yuka Yamamoto
, 0	Yuka Yamana
, 0	Yuka Yamashiro
, 0	Yuka Yanagitani
, 0	Yuka Yanagiya
, 0	Yuka Yanase
, 0	Yuka Yasumoto
, 0	Yuka Yokogawa
, 0	Yuka Yoshida (II)
, 0	Yuka Yoshida (III)
, 0	Yuka Yoshikawa
, 0	Yuka Yoshino
, 114011	Yuka Ôno (I)
, 0	Yuka Ôno (II)
, 0	Yukai Ebisuno
, 0	Yukaka Sera
, 0	Yukako Fujiwara
, 0	Yukako Hayase
, 325661	Yukako Kukuri
, 0	Yukako Kusumoto
, 0	Yukako Matsuda
, 0	Yukako Meguro
, 0	Yukako Mino
, 0	Yukako Mori
, 0	Yukako Nagata
, 0	Yukako Ono
, 0	Yukako Saito
, 0	Yukako Shimizu
, 0	Yukako Takeda
, 0	Yukali Wennekes
, 0	Yukami Towaki
, 142584	Yukana Nogami
, 0	Yukana Ueno
, 0	Yukara Nakai
, 10801	Yukari
, 0	Yukari Aoki (I)
, 0	Yukari Aoki (III)
, 0	Yukari Aoyama (I)
, 0	Yukari Aoyama (II)
, 0	Yukari Asai
, 47328264	Yukari Black
, 0	Yukari Cousineau
, 0	Yukari Endo
, 0	Yukari Fujimoto
, 0	Yukari Fujiu
, 2	Yukari Fukui
, 0	Yukari Fuyune
, 4	Yukari Goto (II)
, 0	Yukari Hara
, 0	Yukari Haruma
, 0	Yukari Hasegawa
, 0	Yukari Hatano
, 0	Yukari Hatori
, 6	Yukari Hikida
, 0	Yukari Hishizu
, 0	Yukari Hitomi
, 0	Yukari Honma
, 0	Yukari Horie
, 0	Yukari Hyuga
, 2	Yukari Ichijô (I)
, 0	Yukari Ichijô (II)
, 0	Yukari Iijima
, 0	Yukari Inoue
, 0	Yukari Ishida
, 0	Yukari Ishidate
, 0	Yukari Ishikura
, 0	Yukari Isshi
, 0	Yukari Ito (I)
, 0	Yukari Itô
, 0	Yukari Izumo
, 0	Yukari Kama
, 367145	Yukari Kanasawa
, 0	Yukari Kanehira
, 0	Yukari Karato
, 0	Yukari Kawasaki (I)
, 0	Yukari Kawasaki (II)
, 0	Yukari Kawasoe
, 0	Yukari Kazuuji
, 0	Yukari Kimishima
, 0	Yukari Kinga
, 0	Yukari Kishimoto
, 0	Yukari Kishiro
, 0	Yukari Kiyohara
, 0	Yukari Kokubun
, 0	Yukari Komatsu
, 3	Yukari Koseki
, 0	Yukari Kuzuya
, 0	Yukari Kôsaka
, 0	Yukari Matsumoto
, 0	Yukari Matsuo (II)
